group,path,sha256,bytes,git_blob,artifacts
field-final-state,docs/evidence/2026-09-08-field/raw/manifests/field-final-state.json,1ab9704da5e6c5f66122a7b452499399e88372f434e164f99d328f7e3aab8a08,580,30a0076165813f1231a709078af584dd4c042102,2
field-fresh-delivery-v1,docs/evidence/2026-09-08-field/raw/manifests/field-fresh-delivery-v1.json,fba61edb0d065b132e68ae78bc7d0b58157a5ac679b21712a0d50c5bc15c002c,602,735a263522cec45c4cf5ac6cd5ae33e1e93576a1,2
field-fresh-delivery-v2,docs/evidence/2026-09-08-field/raw/manifests/field-fresh-delivery-v2.json,ef6d8ac56559087120705fadd6b503b145981fd307a361b252a001a00d015000,602,299d94ad1f0b90b13fdf67c80ffb7016ab500536,2
field-fresh-delivery-v3,docs/evidence/2026-09-08-field/raw/manifests/field-fresh-delivery-v3.json,aa02c7ca11575587dd7ec1894248804631b1fe254e8fce3e88c7150974f97eb2,602,02572bd01f0f7279bf6674503b6264d2340598ad,2
field-fresh-delivery-v4,docs/evidence/2026-09-08-field/raw/manifests/field-fresh-delivery-v4.json,af7b5f65e47e1211f866dd62966df5fcbb15304c5760908574c92e8b8f146b51,602,a08900cc926c70bc02aa47390979c47d47aff73e,2
field-node-v1,docs/evidence/2026-09-08-field/raw/manifests/field-node-v1.json,d6b9d8885c1e12c4ecb04c7f9989a2285521b4fad8473698158c04f3da2e5d14,4204,cf062ba62fa0b4e524b4d61f01c013e2eb5a5edd,16
field-node-v10,docs/evidence/2026-09-08-field/raw/manifests/field-node-v10.json,3026b64f4c5edf8ff81c9a6cceb82c5a52b10fb36a3c7361c83dfe0790a6e7f0,5037,d2b62749125c69c13d2455921f9d4443b5d4d8e6,19
field-node-v11,docs/evidence/2026-09-08-field/raw/manifests/field-node-v11.json,08e06d54071accb6b6d8e3f60fb89f90bf01390b0f64305047ee777f099f04b0,5037,2576d38314b7ab1593414ba92d81526dd7c325d8,19
field-node-v12,docs/evidence/2026-09-08-field/raw/manifests/field-node-v12.json,c090041209aa30ef8c71bc5670adbb380937cb62b2803d201c88b8d3f8f4229f,5037,082fa0fbd6e65e31f1c05a603ccc15927cb90027,19
field-node-v13,docs/evidence/2026-09-08-field/raw/manifests/field-node-v13.json,85921f69949b2a41c3cd5779da862d74aca1194f1ba78f9fba0f7d44d5c53bfe,5037,5b88969e6a796412713f00f0fad17d992c58155c,19
field-node-v14,docs/evidence/2026-09-08-field/raw/manifests/field-node-v14.json,ad739d059f564902a4fde245aee67181e69b2f82d7fb9aee86905d1239e81c57,5037,7e5af8afe4b2c4cf4681d12cff32c60a88067d93,19
field-node-v15,docs/evidence/2026-09-08-field/raw/manifests/field-node-v15.json,10cc103e81873ec56efdfcc2f315b725013369eae8f376fac408ce7ef3838c4f,4221,918ad79806a0b5392707195bd9589b5962ee4e75,16
field-node-v16,docs/evidence/2026-09-08-field/raw/manifests/field-node-v16.json,ea53cbcf95b7810b13034e1a4ac100f22e5600486d4ea0d08fe61c53250fda72,5037,be0491ba89b9ad03813a55f50f95697d0b47be52,19
